"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/11/19 10:28:22 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","1 - 2 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Ambivert","Organizing, planning, or managing;Experimenting and researching","Outgoing;Strategic;Observant","4","Diploma","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion","Yes","5","Do what you would love to do hours on end instead of thinking of salary because money will come to you if you work hard"
"2025/11/19 10:29:17 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Ambivert","Experimenting and researching;Writing or storytelling","Creative;Persuasive;Observant","4","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","3","Stay true to your heart and influences"
"2025/11/19 10:31:27 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Technical & Engineering Subjects","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing","Strategic;Compassionate","4","Diploma","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion","No","4","Choose what you like"
"2025/11/19 10:31:34 PM GMT+8","Male","SPM 2021","Melaka","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Mathematical Subjects","Introvert","Helping and communicating with people;Organizing, planning, or managing","Observant;Innovative;Reserved","3","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Family expectation","Yes","3","Think wisely"
"2025/11/19 10:31:37 PM GMT+8","Male","SPM 2021","Selangor","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Solving logical or mathematical problems;Creating or designing things;Experimenting and researching","Analytical;Strategic;Observant","3","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","3","FOLLOW YOUR HEART"
"2025/11/19 10:33:31 PM GMT+8","Male","SPM 2021","Sarawak","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems;Analysing and interpreting data","Creative;Outgoing;Observant","3","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;University / Scolarship offer;Salary potential","Yes","5","Goodluck"
"2025/11/19 10:35:11 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Science Subjects (Science, Biology, Physics)","Ambivert","Creating or designing things;Helping and communicating with people;Experimenting and researching","Observant;Compassionate;Reserved","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","No","4","Skip uni & Marry a rich man "
"2025/11/19 10:38:35 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems;Organizing, planning, or managing","Analytical;Observant;Reserved","3","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;Salary potential;Family expectation","No","3","Dont put very high expectation on something just think logically what would you really want to do, dont follow what people follow yourself, dont let your peers and parent dictate what you wanna be"
"2025/11/19 10:38:58 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Accountancy & Commerce Subjects","Mathematical Subjects","Ambivert","Solving logical or mathematical problems;Writing or storytelling","Strategic;Observant;Compassionate","3","Diploma","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;University / Scolarship offer;Family expectation","No","3","Just choose what you are interested in"
"2025/11/19 10:39:16 PM GMT+8","Male","SPM 2021","Kuala Lumpur","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Creating or designing things","Adventurous;Outgoing;Analytical","4","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;University / Scolarship offer;Salary potential;Family expectation","Yes","5","Think carefully about the risk of your degree"
"2025/11/19 10:42:46 PM GMT+8","Male","SPM 2021","Melaka","Private School","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Creating or designing things","Creative;Analytical;Strategic","3","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;University / Scolarship offer;Salary potential","No","4","Think about how u want your uni life to be ? "
"2025/11/19 10:45:48 PM GMT+8","Male","SPM 2021","Melaka","Private School","Science (Biology, Chemistry etc);+ accounting","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Ambivert","Solving logical or mathematical problems","Analytical;Observant;Resiliant","3","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Salary potential","No","4","-"
"2025/11/19 10:49:10 PM GMT+8","Female","SPM 2020","Kelantan","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Strategic;Observant","4","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","5","Explore your passion and likes"
"2025/11/19 10:56:35 PM GMT+8","Female","SPM 2022","Terengganu","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Technical & Engineering Subjects","Extrovert","Experimenting and researching;Writing or storytelling","Outgoing;Persuasive;Resiliant","4","Foundation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Academic strength in SPM subjects;University / Scolarship offer;Family expectation","Yes","5","Avoid choosing for your family’s approval "
"2025/11/19 11:00:08 PM GMT+8","Male","SPM 2021","Selangor","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Technology & Computing Subjects","Ambivert","Helping and communicating with people;Writing or storytelling","Outgoing;Observant;Compassionate","4","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","Yes","3","follow your heart"
"2025/11/19 11:00:30 PM GMT+8","Female","SPM 2019 or earlier","Terengganu","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Organizing, planning, or managing;Experimenting and researching","Analytical;Persuasive;Compassionate","2","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;University / Scolarship offer;Salary potential","No","5","Don’t force yourself to take courses related to your SPM subject"
"2025/11/19 11:05:30 PM GMT+8","Female","SPM 2019 or earlier","Kelantan","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Accountancy & Commerce Subjects","Introvert","Helping and communicating with people;Experimenting and researching","Outgoing;Compassionate;Reserved","2","Diploma","Media & Communication","Personal interest & Passion;Job opportunities;Salary potential","No","5","Choose wiselyy"
"2025/11/19 11:18:45 PM GMT+8","Female","SPM 2020","Kelantan","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Observant;Reserved","2","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","5","Follow your passion"
"2025/11/19 11:23:44 PM GMT+8","Male","SPM 2020","Terengganu","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Helping and communicating with people;Experimenting and researching","Analytical;Observant;Innovative","1","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Family expectation;Peers / Friends influence","Yes","2","Think of what you want and do rsearch"
"2025/11/19 11:31:11 PM GMT+8","Female","SPM 2020","Terengganu","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Technical & Engineering Subjects","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Creating or designing things;Writing or storytelling","Adventurous;Strategic;Resiliant","1","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;University / Scolarship offer","No","5","Explore different courses"
"2025/11/19 11:54:46 PM GMT+8","Male","SPM 2021","Melaka","Private School","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Accountancy & Commerce Subjects","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Solving logical or mathematical problems;Organizing, planning, or managing","Adventurous;Analytical;Observant","5","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Job opportunities;Peers / Friends influence","Yes","5","do more personality tests and trust in yourself "
"2025/11/19 11:56:29 PM GMT+8","Male","SPM 2021","Kuala Lumpur","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Analysing and interpreting data","Outgoing;Analytical;Compassionate","4","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;Salary potential","No","5","When you do/pursue anything, make sure you have really given it your all. Don’t ever regret from feeling like you could have done better."
"2025/11/20 12:07:40 AM GMT+8","Male","SPM 2021","Melaka","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Creating or designing things;Helping and communicating with people;Organizing, planning, or managing;Experimenting and researching;Analysing and interpreting data","Adventurous;Analytical;Strategic;Observant;Resiliant;Compassionate;Innovative","3","A-Levels","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;University / Scolarship offer;Salary potential","No","4","follow your passion"
"2025/11/20 12:39:52 AM GMT+8","Male","SPM 2021","Melaka","Private School","Accountancy & Commerce (Perniagaan, Ekonomi etc)","9+ As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems","Observant","3","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Salary potential","Yes","5","if you're not gonna continue in stem, don't take science subjects in the beginning"
"2025/11/20 1:18:35 AM GMT+8","Male","SPM 2021","Pulau Pinang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Creating or designing things;Writing or storytelling","Creative;Compassionate;Reserved","4","A-Levels","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion","No","5","Pick something that gives You fulfilment. It’s going to be your life so, do something you want to do and find a way to make it happen and make it pay good money"
"2025/11/20 2:13:13 AM GMT+8","Female","SPM 2021","Selangor","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Technology & Computing Subjects","Extrovert","Solving logical or mathematical problems;Creating or designing things;Organizing, planning, or managing","Creative;Adventurous;Outgoing;Innovative","3","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","3","Choose what YOU actually like and you’ll be fine"
"2025/11/21 2:57:29 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing;Writing or storytelling","Observant;Reserved","3","Foundation","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion","No","3","Do a lot of research beforehand "
